numIndices: 41  actual: 13
0,1,2
3,4,5
5,6,6
7,8,9
10,11,11
12,12,13
14,15,16
16,16,17
17,18,19
20,21,21
21,19,19
22,17,17
17,16,16
23,14,
numVertex: 24
-1.762780, -3.664950, 3.120050
-2.001050, -0.000000, 3.465940
1.762780, -3.664950, 3.120050
2.001060, -0.000000, 3.465940
3.525550, -3.664950, 0.066823
4.002110, -0.000000, -0.000000
-4.767910, -0.000001, -1.991070
-4.299870, -3.552640, -1.892600
-3.090430, -0.092732, -5.307630
-3.079140, -3.667950, -5.061400
0.741279, -0.185463, -5.541160
0.502996, -3.665900, -5.061680
-2.001050, -0.000000, 3.465940
-1.762780, -3.664950, 3.120050
-4.461600, -0.000000, 0.765798
-3.985030, -3.664950, 0.832618
-4.299870, -3.552640, -1.892600
4.002110, -0.000000, -0.000000
3.149760, -0.000000, -3.925410
2.911470, -3.664950, -3.445870
0.741279, -0.185463, -5.541160
0.502996, -3.665900, -5.061680
3.525550, -3.664950, 0.066823
-4.767910, -0.000001, -1.991070
